feature,importance_mean,importance_std
MolLogP,0.13731769550760903,0.0032126502076868066
SlogP_VSA10,0.045613727569525774,0.0007541874478504027
HallKierAlpha,0.036983409028027533,0.0010330018915877366
fr_ArN,0.03674003345554884,0.001281708312045843
SMR_VSA3,0.035549850477471875,0.0008817010545449822
fr_COO2,0.0323158247487248,0.000965938166053769
fr_COO,0.03231582474872465,0.00096593816605381
fr_Al_COO,0.028206426037557318,0.001036130896991993
fr_aniline,0.026623150139538976,0.0009504520857604915
BalabanJ,0.0257592900047267,0.0009050035435838353
fr_halogen,0.02515747967437937,0.0009333576381739116
SlogP_VSA2,0.0244523245962034,0.0008040529893869082
PEOE_VSA6,0.02113941428938567,0.0009095396815944197
PEOE_VSA1,0.01947001030760942,0.0007700572565662254
NHOHCount,0.019430276891617006,0.0009866962263998362
EState_VSA1,0.018653201013804643,0.0004477567601457161
TPSA,0.01794612610952817,0.0006887716195681368
fr_pyridine,0.017027386721605975,0.0004894736894027667
fr_ether,0.016562015278157483,0.0003449200857903236
NumHDonors,0.016035278684406306,0.000885215520154711
SMR_VSA5,0.015565477075904832,0.0005683038694298704
fr_Ar_COO,0.015149105937771934,0.0008523255263080917
fr_NH2,0.014845491513639609,0.0002971424409408409
PEOE_VSA12,0.014478567970446676,0.0007564161036064923
SlogP_VSA1,0.014477826626011459,0.0008357813167006915
BCUT2D_LOGPLOW,0.01431537731847501,0.0003598765348237863
VSA_EState5,0.013893070799632501,0.00043847399896865334
PEOE_VSA7,0.012645511195301773,0.0006870884614901199
NumHAcceptors,0.012424445013764851,0.00030325615582519727
BCUT2D_LOGPHI,0.012357984820778555,0.0004325383544694674
SlogP_VSA5,0.012256546539058366,0.00042828005952406386
SMR_VSA10,0.01209187457972295,0.0004388002325424329
fr_para_hydroxylation,0.011897609964810929,0.00040146540329425654
SlogP_VSA8,0.011870431180005159,0.0004972833763349909
NOCount,0.010370405332392762,0.00038491770329127057
EState_VSA8,0.010339141346495417,0.0003758262155938778
fr_amidine,0.010281908510798809,0.0007275527879072879
fr_priamide,0.01020118501599776,0.0007503247578096484
SMR_VSA1,0.010109380123117873,0.0004358033472657491
fr_NH1,0.01003553633066474,0.0005474203603857015
fr_sulfonamd,0.009856499176436596,0.000266466298261487
fr_NH0,0.00978994147682799,0.00020580097325761384
FpDensityMorgan1,0.009443361699871023,0.000386310496413422
PEOE_VSA13,0.009181161863275323,0.00042791980216840214
fr_Al_OH_noTert,0.009035922347599345,0.00046669960277500666
fr_guanido,0.008982601123291512,0.0009697658281764395
fr_Ar_NH,0.00881182664649216,0.000422751961932062
fr_Nhpyrrole,0.008811826646492027,0.00042275196193206847
VSA_EState4,0.008749583233780122,0.0003212363055872857
fr_sulfide,0.008622145449744734,0.0003746995726789981
fr_phenol,0.008516122246184666,0.0007878651974168033
MaxPartialCharge,0.00835489104467858,0.0003447593888986244
FpDensityMorgan3,0.00825643094007037,0.00021144165810011638
BCUT2D_CHGHI,0.008240366003172827,0.0002881368392009517
BCUT2D_MRLOW,0.008052747569031182,0.0003085778408409702
SMR_VSA4,0.007957394342169433,0.00040961451160562607
fr_tetrazole,0.007829572123846917,0.0007557204256430618
AvgIpc,0.007770189870135636,0.0004707956186010576
fr_methoxy,0.007667042170195759,0.0005165806923547179
NumAliphaticHeterocycles,0.007659272858109201,0.0002268321710337632
MinEStateIndex,0.007648178440098507,0.0003334631972159473
fr_hdrzine,0.007563469403032474,0.0007891145037570728
PEOE_VSA2,0.007507459226183377,0.00041085186356448316
fr_unbrch_alkane,0.007027979108625559,0.0007673471286446219
fr_Ndealkylation1,0.006972813923167865,0.00032038408446987294
fr_nitrile,0.006900724480177423,0.00037632109604189947
SMR_VSA6,0.00688479527361896,0.0003402892802934707
PEOE_VSA10,0.006874749815308079,0.00031681557428500786
fr_ester,0.006849360801554483,0.00048146884695395015
VSA_EState8,0.006707575558897683,0.000391993531105635
fr_nitro_arom_nonortho,0.006644819151755787,0.0006727071277719299
NumSaturatedHeterocycles,0.006593134041727811,0.00028753923827161334
fr_Al_OH,0.006589802200971518,0.00037680260816073724
EState_VSA5,0.006539888990478293,0.00036590963895132537
fr_phenol_noOrthoHbond,0.006495491642006379,0.0006854948895927505
EState_VSA7,0.006409819289277863,0.0002522114484761626
fr_benzene,0.006350607065099501,0.00032907627317118747
PEOE_VSA11,0.006331514482209544,0.0004614409006041251
NumBridgeheadAtoms,0.006294957705153393,0.00031305595061110645
fr_C_O_noCOO,0.0061922279806838395,0.0005928089354021121
fr_morpholine,0.006144471035913546,0.00021108295629062435
PEOE_VSA5,0.006020160866555125,0.0002281914696120258
fr_Imine,0.005993520276874475,0.00035898576023938537
fr_imidazole,0.00589577179264128,0.0004098125521995388
PEOE_VSA8,0.005894005582348016,0.00031074623055989565
fr_thiazole,0.005817051406410245,0.0003312799362749536
SMR_VSA9,0.005793699228265304,0.0004393668322542795
BertzCT,0.005764212815395053,0.00027413984969451523
fr_aryl_methyl,0.005704816972872983,0.00019854450559723648
fr_piperzine,0.005674122862048758,0.00019792269422978396
VSA_EState10,0.005662412172708253,0.00022263597119519032
VSA_EState6,0.005636358714250678,0.00029843584252988413
SlogP_VSA4,0.005583307640634994,0.00022467249198064687
VSA_EState9,0.005548415817304519,0.0002737953388759361
NumAtomStereoCenters,0.005492915238518181,0.0004795579152550801
BCUT2D_MWLOW,0.005414647903335468,0.0003992769054181432
NumRotatableBonds,0.005305791716772012,0.000325041034386351
MinAbsEStateIndex,0.00524406610410133,0.00023923683520907994
VSA_EState2,0.0050334142217082324,0.0005190505200049116
SMR_VSA2,0.005031853091837846,0.0003787238089201225
fr_HOCCN,0.005026444236586369,0.0003570302085073514
NumAromaticHeterocycles,0.004988044040424344,0.0003808036082104137
fr_lactone,0.004972301141197399,0.0005646934452131929
FpDensityMorgan2,0.004970059341256272,0.00025447756007377595
fr_oxazole,0.004920482195369525,0.000642888969358674
EState_VSA9,0.004882294926522335,0.00012764603859417536
NumUnspecifiedAtomStereoCenters,0.004861418702226994,0.00045005357228543005
PEOE_VSA4,0.004848849262624943,0.00020892370889426639
NumHeteroatoms,0.0048354116750123025,0.00021064576643176828
BCUT2D_MWHI,0.004777441784189729,0.0002922647210898671
fr_bicyclic,0.004734586627587689,0.00026844349208217155
fr_thiophene,0.004688643857722619,0.00023238277627954626
EState_VSA6,0.004649619835799567,0.0002066451900876582
Phi,0.004598983997903372,0.00042484082983820743
SlogP_VSA3,0.004559119033520709,0.0003659699575780689
MinPartialCharge,0.004482594536591322,0.0003277612426525477
SMR_VSA7,0.004459779099177575,0.00023763362460999248
fr_C_O,0.004445478515820278,0.0005025349410033552
VSA_EState7,0.004321021656739843,0.0001936470558226917
PEOE_VSA3,0.004320474820954634,0.00030502285522377435
Kappa3,0.004315795865398297,0.0005284371211208047
fr_amide,0.004303455670907319,0.000388617227433657
NumAmideBonds,0.0043034556709072745,0.000388617227433612
fr_quatN,0.0042599282751648706,0.0003787269649377511
PEOE_VSA14,0.0042567305684180325,0.0002907384891995488
fr_urea,0.004154987977055391,0.00024202911166647654
SPS,0.00414108182505335,0.00019838971556506013
VSA_EState3,0.00407686864985971,0.0001561580958392914
fr_Ar_OH,0.00406705242353439,0.0005016858526536918
PEOE_VSA9,0.00402538573809369,0.00021175803316402728
MaxAbsPartialCharge,0.003996259146793213,0.00025628433332943286
EState_VSA3,0.00397015650041227,0.00017676623563299366
fr_imide,0.003932074081520687,0.0005292608392071506
NumSaturatedCarbocycles,0.0039213958329653905,0.00022870807228041347
fr_Ndealkylation2,0.0038893608423895554,0.0002324427507408848
fr_piperdine,0.003877193194892559,0.0001566320440596129
NumSpiroAtoms,0.00374535629347178,0.0006052373759494259
fr_dihydropyridine,0.0037391141043920497,0.0009210361455944384
qed,0.0037121584393407735,0.0001773147185051959
NumAliphaticCarbocycles,0.0036721986757142,0.0002526296591698485
Kappa2,0.003552697054657816,0.0003556371254082202
fr_allylic_oxid,0.0034913054302101788,0.0004582749346613876
EState_VSA2,0.003481148089470476,0.0001612935025191367
SlogP_VSA11,0.003454881734543802,0.0003074434265530757
fr_furan,0.003423662049178011,0.000263855794829942
SlogP_VSA7,0.003417080246572346,0.00029144531278927943
NumAliphaticRings,0.0034052826944418247,0.00010543538502050789
fr_oxime,0.003384768709863395,0.0005352526904743558
BCUT2D_CHGLO,0.003319752595995229,0.00020446721813150058
MinAbsPartialCharge,0.0033170632503074504,0.00023088875972321628
Chi2n,0.003311147265547576,0.00021376581044364206
fr_sulfone,0.0032965665107567376,0.00026297925997709155
fr_ketone_Topliss,0.0032861549501586153,0.0003449797683157071
FractionCSP3,0.0032855078912054857,0.0002089199953449791
fr_nitro,0.0032849615867504567,0.00032044331458059444
NumAromaticRings,0.003258422897089508,0.0001488435128831684
fr_alkyl_carbamate,0.003185418325274081,0.0004336133313465586
EState_VSA4,0.0031591408126041996,0.00018346722650927058
BCUT2D_MRHI,0.003114494982393923,0.00026106455727884794
EState_VSA10,0.003083161636148046,0.0002476796199023212
fr_nitro_arom,0.0030812985837597507,0.00036275089312062163
Chi4v,0.0030667921365232663,0.00013191260008135676
Chi0,0.0030243108041349887,0.00029283683426666556
VSA_EState1,0.0029345193639460977,0.00020788829927953566
fr_N_O,0.002876717506684878,0.0004908465240177274
Chi0n,0.0028634163163190783,0.0002730176618976878
fr_ketone,0.002756861373429931,0.0003638538056216319
fr_benzodiazepine,0.0026967888137576336,0.0006547445051757846
Chi1n,0.0026742860632882116,0.00025834090918714817
fr_hdrzone,0.002615853948909519,0.0007004909570242342
NumAromaticCarbocycles,0.0025563634469338735,0.00014100053307236534
fr_SH,0.002490156172487867,0.0007163983125578392
fr_alkyl_halide,0.0024377666208841966,0.00019033854528209025
MaxAbsEStateIndex,0.0024265171463957015,0.00010202481041838695
MaxEStateIndex,0.002426517146395679,0.00010202481041833426
HeavyAtomCount,0.002384013886174585,0.00023980602061578432
SlogP_VSA12,0.002359609393535833,0.00014827373338215016
fr_Ar_N,0.0022768898010570695,0.0001634017331363022
Chi3v,0.0022501628610788194,9.255761050845727e-05
NumValenceElectrons,0.0022418541101940524,0.00024724737087592695
EState_VSA11,0.002230162597667873,0.0004729517285150808
fr_term_acetylene,0.002229368627153083,0.000602154295448578
NumSaturatedRings,0.002189216788863113,0.00015518603402533653
Chi1,0.0021879090770811405,0.0002291007434387765
SlogP_VSA6,0.0021781016667145048,0.00017938697831836202
LabuteASA,0.0021629677721345386,0.00019976369551783822
Ipc,0.00215971997265596,0.000567756816687529
MolMR,0.002125076765025402,0.00017357239048703977
HeavyAtomMolWt,0.0020750573915947366,0.00017078194139414984
Chi0v,0.0020677189659567994,0.0001761086760740543
Chi3n,0.002040050105666091,8.575635886331199e-05
Kappa1,0.0020167194676149135,0.00025073268925366135
MolWt,0.0020154080430771714,0.0001744578203901921
ExactMolWt,0.0020114232056482996,0.00017510978587926022
fr_C_S,0.001981894134496132,0.0006707779220914942
Chi4n,0.0018648785554222114,8.251032085750202e-05
NumHeterocycles,0.0018396991940128559,0.00016722850318718434
Chi1v,0.0018184609326945323,0.0001300519533345164
RingCount,0.0017427007906000713,7.101340217797612e-05
Chi2v,0.0015637364590290414,0.00012798302405714305
fr_barbitur,0.0014815577689968329,0.0005980790265563611
fr_aldehyde,0.001313042791154917,0.000540443555999036
fr_phos_acid,0.0012813838928097399,0.0003529080021517582
fr_phos_ester,0.0012813838928097399,0.0003529080021517582
fr_azo,0.0008924126476213545,0.0005029852835519015
fr_lactam,0.0006642566395195449,0.0005226760400985014
fr_epoxide,0.0006132576388413358,0.0005463558044431908
NumRadicalElectrons,0.0,0.0
SMR_VSA8,0.0,0.0
SlogP_VSA9,0.0,0.0
fr_isothiocyan,0.0,0.0
fr_diazo,0.0,0.0
fr_azide,0.0,0.0
fr_isocyan,0.0,0.0
fr_nitroso,0.0,0.0
fr_prisulfonamd,0.0,0.0
fr_thiocyan,0.0,0.0
